기준년월,광역지자체,방문자 구분,방문자 수
2020,전국,현지인방문자(a),8.231797994E9
2020,전국,외지인방문자(b),2.467299655E9
2022,전국,현지인방문자(a),9.32079959E9
2022,전국,외지인방문자(b),2.798087624E9
2019,전국,현지인방문자(a),7.984439648E9
2019,전국,외지인방문자(b),2.948191358E9
2021,전국,현지인방문자(a),8.765376879E9
2021,전국,외지인방문자(b),2.504146782E9
2023,전국,현지인방문자(a),9.456385813E9
2023,전국,외지인방문자(b),2.915070764E9
2018,전국,현지인방문자(a),8.037605737E9
2018,전국,외지인방문자(b),2.734990786E9
2024,전국,현지인방문자(a),9.17205542E9
2024,전국,외지인방문자(b),2.926949364E9
2025,전국,현지인방문자(a),9.629617361E9
2025,전국,외지인방문자(b),3.095863264E9
2020,전국,전체방문자(a+b),1.0699097649E10
2022,전국,전체방문자(a+b),1.2118887214E10
2019,전국,전체방문자(a+b),1.0932631006E10
2021,전국,전체방문자(a+b),1.126952366E10
2023,전국,전체방문자(a+b),1.2371456576E10
2018,전국,전체방문자(a+b),1.0772596524E10
2024,전국,전체방문자(a+b),1.2099004785E10
2025,전국,전체방문자(a+b),1.2725480624E10
