광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.141477148E9,5.1,2.3436792E8,11.5
강원특별자치도,원주시,1.141477148E9,5.1,2.48025624E8,12.2
강원특별자치도,강릉시,1.141477148E9,5.1,2.62586044E8,12.9
강원특별자치도,동해시,1.141477148E9,5.1,8.8758674E7,4.4
강원특별자치도,태백시,1.141477148E9,5.1,4.1156616E7,2.0
강원특별자치도,속초시,1.141477148E9,5.1,1.84645083E8,9.1
강원특별자치도,삼척시,1.141477148E9,5.1,9.1503192E7,4.5
강원특별자치도,홍천군,1.141477148E9,5.1,1.37765971E8,6.8
강원특별자치도,횡성군,1.141477148E9,5.1,9.7843798E7,4.8
강원특별자치도,영월군,1.141477148E9,5.1,5.3598531E7,2.6
강원특별자치도,평창군,1.141477148E9,5.1,1.27322268E8,6.3
강원특별자치도,정선군,1.141477148E9,5.1,7.0421186E7,3.5
강원특별자치도,철원군,1.141477148E9,5.1,5.1501954E7,2.5
강원특별자치도,화천군,1.141477148E9,5.1,3.4573122E7,1.7
강원특별자치도,양구군,1.141477148E9,5.1,2.3286022E7,1.1
강원특별자치도,인제군,1.141477148E9,5.1,7.2827685E7,3.6
강원특별자치도,고성군,1.141477148E9,5.1,9.3955438E7,4.6
강원특별자치도,양양군,1.141477148E9,5.1,1.19988218E8,5.9
경기도,수원시,4.854876128E9,21.7,1.354193634E9,10.0
경기도,성남시,4.854876128E9,21.7,1.114647457E9,8.2
경기도,의정부시,4.854876128E9,21.7,3.32794273E8,2.4
경기도,안양시,4.854876128E9,21.7,5.27146438E8,3.9
경기도,부천시,4.854876128E9,21.7,6.35138066E8,4.7
경기도,광명시,4.854876128E9,21.7,3.15989793E8,2.3
경기도,평택시,4.854876128E9,21.7,3.59000957E8,2.6
경기도,동두천시,4.854876128E9,21.7,7.6039075E7,0.6
경기도,안산시,4.854876128E9,21.7,5.8532461E8,4.3
경기도,고양시,4.854876128E9,21.7,1.076303148E9,7.9
경기도,과천시,4.854876128E9,21.7,1.54797156E8,1.1
경기도,구리시,4.854876128E9,21.7,3.51258929E8,2.6
경기도,남양주시,4.854876128E9,21.7,5.49436706E8,4.0
경기도,오산시,4.854876128E9,21.7,2.16622777E8,1.6
경기도,시흥시,4.854876128E9,21.7,4.19820639E8,3.1
경기도,군포시,4.854876128E9,21.7,2.02127978E8,1.5
경기도,의왕시,4.854876128E9,21.7,2.15969887E8,1.6
경기도,하남시,4.854876128E9,21.7,4.20956725E8,3.1
경기도,용인시,4.854876128E9,21.7,1.011231616E9,7.4
경기도,파주시,4.854876128E9,21.7,4.03872203E8,3.0
경기도,이천시,4.854876128E9,21.7,2.96030861E8,2.2
경기도,안성시,4.854876128E9,21.7,2.72952288E8,2.0
경기도,김포시,4.854876128E9,21.7,3.95831062E8,2.9
경기도,화성시,4.854876128E9,21.7,7.49005058E8,5.5
경기도,광주시,4.854876128E9,21.7,3.68770972E8,2.7
경기도,양주시,4.854876128E9,21.7,2.5359151E8,1.9
경기도,포천시,4.854876128E9,21.7,2.20316873E8,1.6
경기도,여주시,4.854876128E9,21.7,2.03577924E8,1.5
경기도,연천군,4.854876128E9,21.7,6.7882552E7,0.5
경기도,가평군,4.854876128E9,21.7,2.05657756E8,1.5
경기도,양평군,4.854876128E9,21.7,2.44873741E8,1.8
경상남도,창원시,1.206600045E9,5.4,8.758661E8,31.3
경상남도,진주시,1.206600045E9,5.4,1.79313578E8,6.4
경상남도,통영시,1.206600045E9,5.4,1.26988379E8,4.5
경상남도,사천시,1.206600045E9,5.4,1.22120229E8,4.4
경상남도,김해시,1.206600045E9,5.4,3.33227926E8,11.9
경상남도,밀양시,1.206600045E9,5.4,1.12159173E8,4.0
경상남도,거제시,1.206600045E9,5.4,1.79710958E8,6.4
경상남도,양산시,1.206600045E9,5.4,2.64510477E8,9.5
경상남도,의령군,1.206600045E9,5.4,3.3379675E7,1.2
경상남도,함안군,1.206600045E9,5.4,8.2834829E7,3.0
경상남도,창녕군,1.206600045E9,5.4,7.5223029E7,2.7
경상남도,고성군,1.206600045E9,5.4,7.4810911E7,2.7
경상남도,남해군,1.206600045E9,5.4,6.6839378E7,2.4
경상남도,하동군,1.206600045E9,5.4,5.8847852E7,2.1
경상남도,산청군,1.206600045E9,5.4,5.3873676E7,1.9
경상남도,함양군,1.206600045E9,5.4,4.8281842E7,1.7
경상남도,거창군,1.206600045E9,5.4,5.2880544E7,1.9
경상남도,합천군,1.206600045E9,5.4,5.397267E7,1.9
경상북도,포항시,1.3753619E9,6.1,4.15062574E8,16.6
경상북도,경주시,1.3753619E9,6.1,3.48471988E8,14.0
경상북도,김천시,1.3753619E9,6.1,1.02854034E8,4.1
경상북도,안동시,1.3753619E9,6.1,1.39478706E8,5.6
경상북도,구미시,1.3753619E9,6.1,2.03389638E8,8.2
경상북도,영주시,1.3753619E9,6.1,6.9784232E7,2.8
경상북도,영천시,1.3753619E9,6.1,9.9187361E7,4.0
경상북도,상주시,1.3753619E9,6.1,1.01285076E8,4.1
경상북도,문경시,1.3753619E9,6.1,8.5649E7,3.4
경상북도,경산시,1.3753619E9,6.1,2.404696E8,9.6
경상북도,의성군,1.3753619E9,6.1,5.4844996E7,2.2
경상북도,청송군,1.3753619E9,6.1,3.9936642E7,1.6
경상북도,영양군,1.3753619E9,6.1,1.3573668E7,0.5
경상북도,영덕군,1.3753619E9,6.1,7.8722672E7,3.2
경상북도,청도군,1.3753619E9,6.1,7.8235458E7,3.1
경상북도,고령군,1.3753619E9,6.1,4.6645834E7,1.9
경상북도,성주군,1.3753619E9,6.1,5.7630734E7,2.3
경상북도,칠곡군,1.3753619E9,6.1,1.57681178E8,6.3
경상북도,예천군,1.3753619E9,6.1,5.2571712E7,2.1
경상북도,봉화군,1.3753619E9,6.1,3.4550621E7,1.4
경상북도,울진군,1.3753619E9,6.1,6.158601E7,2.5
경상북도,울릉군,1.3753619E9,6.1,1.251649E7,0.5
광주광역시,동구,5.0910339E8,2.3,2.66185628E8,17.4
광주광역시,서구,5.0910339E8,2.3,3.89249768E8,25.4
광주광역시,남구,5.0910339E8,2.3,1.64226974E8,10.7
광주광역시,북구,5.0910339E8,2.3,3.62200249E8,23.7
광주광역시,광산구,5.0910339E8,2.3,3.48499255E8,22.8
대구광역시,중구,8.03949066E8,3.6,5.12146138E8,18.1
대구광역시,동구,8.03949066E8,3.6,4.51038784E8,15.9
대구광역시,서구,8.03949066E8,3.6,1.65340584E8,5.8
대구광역시,남구,8.03949066E8,3.6,2.17603547E8,7.7
대구광역시,북구,8.03949066E8,3.6,3.84100524E8,13.6
대구광역시,수성구,8.03949066E8,3.6,3.82858028E8,13.5
대구광역시,달서구,8.03949066E8,3.6,4.28667554E8,15.1
대구광역시,달성군,8.03949066E8,3.6,2.33099086E8,8.2
대구광역시,군위군,8.03949066E8,3.6,5.7549698E7,2.0
대전광역시,동구,6.37135146E8,2.8,2.85817312E8,16.5
대전광역시,중구,6.37135146E8,2.8,3.37740032E8,19.5
대전광역시,서구,6.37135146E8,2.8,4.65583024E8,26.9
대전광역시,유성구,6.37135146E8,2.8,4.45627668E8,25.7
대전광역시,대덕구,6.37135146E8,2.8,1.98262792E8,11.4
부산광역시,중구,1.14195523E9,5.1,3.04609529E8,6.9
부산광역시,서구,1.14195523E9,5.1,1.61067438E8,3.7
부산광역시,동구,1.14195523E9,5.1,2.52491726E8,5.7
부산광역시,영도구,1.14195523E9,5.1,1.36697435E8,3.1
부산광역시,부산진구,1.14195523E9,5.1,5.53783968E8,12.6
부산광역시,동래구,1.14195523E9,5.1,2.89518498E8,6.6
부산광역시,남구,1.14195523E9,5.1,2.3638887E8,5.4
부산광역시,북구,1.14195523E9,5.1,1.82463848E8,4.2
부산광역시,해운대구,1.14195523E9,5.1,5.2358201E8,11.9
부산광역시,사하구,1.14195523E9,5.1,1.86480546E8,4.2
부산광역시,금정구,1.14195523E9,5.1,2.30428552E8,5.2
부산광역시,강서구,1.14195523E9,5.1,2.89863217E8,6.6
부산광역시,연제구,1.14195523E9,5.1,2.23324346E8,5.1
부산광역시,수영구,1.14195523E9,5.1,2.87255003E8,6.5
부산광역시,사상구,1.14195523E9,5.1,2.24156208E8,5.1
부산광역시,기장군,1.14195523E9,5.1,3.10299108E8,7.1
서울특별시,종로구,4.575605706E9,20.4,1.035891826E9,6.7
서울특별시,중구,4.575605706E9,20.4,1.057396263E9,6.9
서울특별시,용산구,4.575605706E9,20.4,7.76308446E8,5.0
서울특별시,성동구,4.575605706E9,20.4,4.71732527E8,3.1
서울특별시,광진구,4.575605706E9,20.4,5.48041274E8,3.6
서울특별시,동대문구,4.575605706E9,20.4,4.28463469E8,2.8
서울특별시,중랑구,4.575605706E9,20.4,2.83604349E8,1.8
서울특별시,성북구,4.575605706E9,20.4,4.0142144E8,2.6
서울특별시,강북구,4.575605706E9,20.4,2.56962895E8,1.7
서울특별시,도봉구,4.575605706E9,20.4,2.42023618E8,1.6
서울특별시,노원구,4.575605706E9,20.4,4.45563864E8,2.9
서울특별시,은평구,4.575605706E9,20.4,2.90495594E8,1.9
서울특별시,서대문구,4.575605706E9,20.4,6.4733208E8,4.2
서울특별시,마포구,4.575605706E9,20.4,9.05159066E8,5.9
서울특별시,양천구,4.575605706E9,20.4,3.0695524E8,2.0
서울특별시,강서구,4.575605706E9,20.4,5.89872748E8,3.8
서울특별시,구로구,4.575605706E9,20.4,4.82508946E8,3.1
서울특별시,금천구,4.575605706E9,20.4,2.27228628E8,1.5
서울특별시,영등포구,4.575605706E9,20.4,8.42517918E8,5.5
서울특별시,동작구,4.575605706E9,20.4,4.52522119E8,2.9
서울특별시,관악구,4.575605706E9,20.4,4.55389742E8,3.0
서울특별시,서초구,4.575605706E9,20.4,1.264485397E9,8.2
서울특별시,강남구,4.575605706E9,20.4,1.655457559E9,10.7
서울특별시,송파구,4.575605706E9,20.4,9.29419386E8,6.0
서울특별시,강동구,4.575605706E9,20.4,4.06648536E8,2.6
세종특별자치시,세종특별자치시,2.09824926E8,0.9,2.34711785E8,100.0
울산광역시,중구,3.77783984E8,1.7,1.96515232E8,18.2
울산광역시,남구,3.77783984E8,1.7,3.44857968E8,31.9
울산광역시,동구,3.77783984E8,1.7,1.01646842E8,9.4
울산광역시,북구,3.77783984E8,1.7,1.80928587E8,16.7
울산광역시,울주군,3.77783984E8,1.7,2.58750048E8,23.9
인천광역시,중구,1.294725526E9,5.8,5.45938988E8,18.7
인천광역시,동구,1.294725526E9,5.8,7.3268069E7,2.5
인천광역시,미추홀구,1.294725526E9,5.8,3.50371634E8,12.0
인천광역시,연수구,1.294725526E9,5.8,3.46679753E8,11.9
인천광역시,남동구,1.294725526E9,5.8,4.17475436E8,14.3
인천광역시,부평구,1.294725526E9,5.8,3.88036593E8,13.3
인천광역시,계양구,1.294725526E9,5.8,2.25935986E8,7.7
인천광역시,서구,1.294725526E9,5.8,4.02062574E8,13.7
인천광역시,강화군,1.294725526E9,5.8,1.28180297E8,4.4
인천광역시,옹진군,1.294725526E9,5.8,4.6979758E7,1.6
전라남도,목포시,9.68347129E8,4.3,1.97058978E8,10.4
전라남도,여수시,9.68347129E8,4.3,2.03115637E8,10.7
전라남도,순천시,9.68347129E8,4.3,1.94971015E8,10.3
전라남도,나주시,9.68347129E8,4.3,1.24192599E8,6.6
전라남도,광양시,9.68347129E8,4.3,1.04321607E8,5.5
전라남도,담양군,9.68347129E8,4.3,1.18102735E8,6.2
전라남도,곡성군,9.68347129E8,4.3,4.1951409E7,2.2
전라남도,구례군,9.68347129E8,4.3,4.5601785E7,2.4
전라남도,고흥군,9.68347129E8,4.3,5.0416157E7,2.7
전라남도,보성군,9.68347129E8,4.3,5.3809323E7,2.8
전라남도,화순군,9.68347129E8,4.3,9.5784023E7,5.1
전라남도,장흥군,9.68347129E8,4.3,4.0073745E7,2.1
전라남도,강진군,9.68347129E8,4.3,4.3868006E7,2.3
전라남도,해남군,9.68347129E8,4.3,6.7853811E7,3.6
전라남도,영암군,9.68347129E8,4.3,7.8773627E7,4.2
전라남도,무안군,9.68347129E8,4.3,1.1531744E8,6.1
전라남도,함평군,9.68347129E8,4.3,4.7260138E7,2.5
전라남도,영광군,9.68347129E8,4.3,5.6072376E7,3.0
전라남도,장성군,9.68347129E8,4.3,7.7029604E7,4.1
전라남도,완도군,9.68347129E8,4.3,4.6821388E7,2.5
전라남도,진도군,9.68347129E8,4.3,3.6932939E7,2.0
전라남도,신안군,9.68347129E8,4.3,5.1921814E7,2.7
전북특별자치도,전주시,7.37136337E8,3.3,5.48288094E8,32.0
전북특별자치도,군산시,7.37136337E8,3.3,1.92662721E8,11.2
