기준년월,광역지자체,방문자 구분,방문자 수
201801,전국,외지인방문자(b),206679774.0
201801,전국,전체방문자(a+b),848838232.0
201801,전국,현지인방문자(a),642158458.0
201802,전국,외지인방문자(b),204776922.0
201802,전국,전체방문자(a+b),780403848.0
201802,전국,현지인방문자(a),575626926.0
201803,전국,외지인방문자(b),245418278.0
201803,전국,전체방문자(a+b),926393146.0
201803,전국,현지인방문자(a),680974868.0
201804,전국,외지인방문자(b),208064378.0
201804,전국,전체방문자(a+b),845367722.0
201804,전국,현지인방문자(a),637303345.0
201805,전국,외지인방문자(b),235596204.0
201805,전국,전체방문자(a+b),943287328.0
201805,전국,현지인방문자(a),707691124.0
201806,전국,외지인방문자(b),216116876.0
201806,전국,전체방문자(a+b),899366122.0
201806,전국,현지인방문자(a),683249245.0
201807,전국,외지인방문자(b),240267710.0
201807,전국,전체방문자(a+b),938387096.0
201807,전국,현지인방문자(a),698119387.0
201808,전국,외지인방문자(b),246261900.0
201808,전국,전체방문자(a+b),929330636.0
201808,전국,현지인방문자(a),683068736.0
201809,전국,외지인방문자(b),264519454.0
201809,전국,전체방문자(a+b),940478406.0
201809,전국,현지인방문자(a),675958952.0
201810,전국,외지인방문자(b),233121312.0
201810,전국,전체방문자(a+b),934086366.0
201810,전국,현지인방문자(a),700965055.0
201811,전국,외지인방문자(b),212955176.0
201811,전국,전체방문자(a+b),873025318.0
201811,전국,현지인방문자(a),660070142.0
201812,전국,외지인방문자(b),221212803.0
201812,전국,전체방문자(a+b),913632304.0
201812,전국,현지인방문자(a),692419500.0
201901,전국,외지인방문자(b),216038820.0
201901,전국,전체방문자(a+b),898036430.0
201901,전국,현지인방문자(a),681997610.0
201902,전국,외지인방문자(b),220373580.0
201902,전국,전체방문자(a+b),812953816.0
201902,전국,현지인방문자(a),592580236.0
201903,전국,외지인방문자(b),271202676.0
201903,전국,전체방문자(a+b),973110677.0
201903,전국,현지인방문자(a),701908000.0
201904,전국,외지인방문자(b),207230460.0
201904,전국,전체방문자(a+b),847542342.0
201904,전국,현지인방문자(a),640311882.0
201905,전국,외지인방문자(b),239603808.0
201905,전국,전체방문자(a+b),916801942.0
201905,전국,현지인방문자(a),677198134.0
201906,전국,외지인방문자(b),229760916.0
201906,전국,전체방문자(a+b),878982528.0
201906,전국,현지인방문자(a),649221612.0
201907,전국,외지인방문자(b),262371242.0
201907,전국,전체방문자(a+b),918205309.0
201907,전국,현지인방문자(a),655834067.0
201908,전국,외지인방문자(b),293042802.0
201908,전국,전체방문자(a+b),946290023.0
201908,전국,현지인방문자(a),653247220.0
201909,전국,외지인방문자(b),269626354.0
201909,전국,전체방문자(a+b),913651025.0
201909,전국,현지인방문자(a),644024672.0
201910,전국,외지인방문자(b),252879781.0
201910,전국,전체방문자(a+b),924341184.0
201910,전국,현지인방문자(a),671461402.0
201911,전국,외지인방문자(b),252847500.0
201911,전국,전체방문자(a+b),951398133.0
201911,전국,현지인방문자(a),698550632.0
201912,전국,외지인방문자(b),233213418.0
201912,전국,전체방문자(a+b),951317598.0
201912,전국,현지인방문자(a),718104180.0
202001,전국,외지인방문자(b),243720110.0
202001,전국,전체방문자(a+b),943069908.0
202001,전국,현지인방문자(a),699349798.0
202002,전국,외지인방문자(b),178532532.0
202002,전국,전체방문자(a+b),825522498.0
202002,전국,현지인방문자(a),646989966.0
202003,전국,외지인방문자(b),177028078.0
202003,전국,전체방문자(a+b),825791925.0
202003,전국,현지인방문자(a),648763846.0
202004,전국,외지인방문자(b),184990225.0
202004,전국,전체방문자(a+b),833049774.0
202004,전국,현지인방문자(a),648059548.0
202005,전국,외지인방문자(b),221231266.0
202005,전국,전체방문자(a+b),923599246.0
202005,전국,현지인방문자(a),702367981.0
202006,전국,외지인방문자(b),202162544.0
202006,전국,전체방문자(a+b),904761560.0
202006,전국,현지인방문자(a),702599016.0
202007,전국,외지인방문자(b),224372743.0
202007,전국,전체방문자(a+b),944921271.0
202007,전국,현지인방문자(a),720548528.0
202008,전국,외지인방문자(b),223302482.0
202008,전국,전체방문자(a+b),912363232.0
202008,전국,현지인방문자(a),689060750.0
202009,전국,외지인방문자(b),197179504.0
202009,전국,전체방문자(a+b),888366087.0
202009,전국,현지인방문자(a),691186584.0
202010,전국,외지인방문자(b),235232880.0
202010,전국,전체방문자(a+b),947665342.0
202010,전국,현지인방문자(a),712432462.0
