광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,연도
강원특별자치도,133465633.0,4.9,2018
경기도,584520363.0,21.4,2018
경상남도,146715002.0,5.4,2018
경상북도,165693220.0,6.1,2018
광주광역시,63518182.0,2.3,2018
대구광역시,104424348.0,3.8,2018
대전광역시,82200738.0,3.0,2018
부산광역시,145717600.0,5.3,2018
서울특별시,585384894.0,21.4,2018
세종특별자치시,23021856.0,0.8,2018
울산광역시,45732718.0,1.7,2018
인천광역시,153429882.0,5.6,2018
전라남도,111307102.0,4.1,2018
전북특별자치도,89167253.0,3.3,2018
제주특별자치도,50818236.0,1.9,2018
충청남도,148008816.0,5.4,2018
충청북도,101864945.0,3.7,2018
강원특별자치도,143757912.0,4.9,2019
경기도,655389497.0,22.2,2019
경상남도,151265289.0,5.1,2019
경상북도,172036882.0,5.8,2019
광주광역시,65535267.0,2.2,2019
대구광역시,106502840.0,3.6,2019
대전광역시,83144173.0,2.8,2019
부산광역시,149672134.0,5.1,2019
서울특별시,648561588.0,22.0,2019
세종특별자치시,25170582.0,0.9,2019
울산광역시,47793760.0,1.6,2019
인천광역시,177054619.0,6.0,2019
전라남도,117585839.0,4.0,2019
전북특별자치도,92151059.0,3.1,2019
제주특별자치도,52895899.0,1.8,2019
충청남도,154606564.0,5.2,2019
충청북도,105067452.0,3.6,2019
강원특별자치도,131065291.0,5.3,2020
경기도,548938292.0,22.2,2020
경상남도,139194072.0,5.6,2020
경상북도,152541333.0,6.2,2020
광주광역시,56610108.0,2.3,2020
대구광역시,86201112.0,3.5,2020
대전광역시,69473159.0,2.8,2020
부산광역시,124725884.0,5.1,2020
서울특별시,483312564.0,19.6,2020
세종특별자치시,23921040.0,1.0,2020
울산광역시,43244282.0,1.8,2020
인천광역시,135966530.0,5.5,2020
전라남도,110317383.0,4.5,2020
전북특별자치도,83792698.0,3.4,2020
제주특별자치도,46183160.0,1.9,2020
충청남도,138428948.0,5.6,2020
충청북도,93383798.0,3.8,2020
강원특별자치도,130221676.0,5.2,2021
경기도,550778084.0,22.0,2021
경상남도,140211858.0,5.6,2021
경상북도,161251041.0,6.4,2021
광주광역시,56231056.0,2.2,2021
대구광역시,87651389.0,3.5,2021
대전광역시,69111136.0,2.8,2021
부산광역시,123660862.0,4.9,2021
서울특별시,485882474.0,19.4,2021
세종특별자치시,25390470.0,1.0,2021
울산광역시,42680078.0,1.7,2021
인천광역시,135519552.0,5.4,2021
전라남도,114436973.0,4.6,2021
전북특별자치도,83144446.0,3.3,2021
제주특별자치도,59284068.0,2.4,2021
충청남도,142540388.0,5.7,2021
충청북도,96151230.0,3.8,2021
강원특별자치도,153264262.0,5.5,2022
경기도,602401426.0,21.5,2022
경상남도,149980943.0,5.4,2022
경상북도,177343260.0,6.3,2022
광주광역시,63615948.0,2.3,2022
대구광역시,98772936.0,3.5,2022
대전광역시,75608788.0,2.7,2022
부산광역시,138010708.0,4.9,2022
서울특별시,556130988.0,19.9,2022
세종특별자치시,26820882.0,1.0,2022
울산광역시,46681992.0,1.7,2022
인천광역시,154843507.0,5.5,2022
전라남도,126800233.0,4.5,2022
전북특별자치도,94403148.0,3.4,2022
제주특별자치도,68144188.0,2.4,2022
충청남도,157650633.0,5.6,2022
충청북도,107613782.0,3.8,2022
강원특별자치도,151848858.0,5.2,2023
경기도,627366383.0,21.5,2023
경상남도,155312930.0,5.3,2023
경상북도,180116114.0,6.2,2023
광주광역시,66257320.0,2.3,2023
대구광역시,102614956.0,3.5,2023
대전광역시,82009340.0,2.8,2023
부산광역시,148044554.0,5.1,2023
서울특별시,587266491.0,20.1,2023
세종특별자치시,27405046.0,0.9,2023
울산광역시,49032032.0,1.7,2023
인천광역시,175109028.0,6.0,2023
전라남도,128427117.0,4.4,2023
전북특별자치도,96051949.0,3.3,2023
제주특별자치도,60629072.0,2.1,2023
충청남도,164815175.0,5.7,2023
충청북도,112764396.0,3.9,2023
강원특별자치도,146618304.0,5.0,2024
경기도,625437908.0,21.4,2024
경상남도,157232103.0,5.4,2024
경상북도,178592992.0,6.1,2024
광주광역시,66355821.0,2.3,2024
대구광역시,105352492.0,3.6,2024
대전광역시,84639908.0,2.9,2024
부산광역시,150240038.0,5.1,2024
서울특별시,595780850.0,20.4,2024
세종특별자치시,27966670.0,1.0,2024
울산광역시,49936890.0,1.7,2024
인천광역시,177319548.0,6.1,2024
전라남도,126777920.0,4.3,2024
전북특별자치도,96296204.0,3.3,2024
제주특별자치도,57928874.0,2.0,2024
충청남도,165468408.0,5.7,2024
충청북도,115004435.0,3.9,2024
강원특별자치도,151235214.0,4.9,2025
경기도,660044175.0,21.3,2025
경상남도,166687846.0,5.4,2025
경상북도,187787058.0,6.1,2025
광주광역시,70979688.0,2.3,2025
대구광역시,112428992.0,3.6,2025
대전광역시,90947902.0,2.9,2025
부산광역시,161883449.0,5.2,2025
서울특별시,633285856.0,20.5,2025
세종특별자치시,30128382.0,1.0,2025
울산광역시,52682231.0,1.7,2025
인천광역시,185482860.0,6.0,2025
전라남도,132694562.0,4.3,2025
전북특별자치도,102129580.0,3.3,2025
제주특별자치도,59269886.0,1.9,2025
충청남도,175403844.0,5.7,2025
충청북도,122791739.0,4.0,2025
