광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율,연도
강원특별자치도,강릉시,133465633.0,4.9,31244031.0,13.2,2018
강원특별자치도,고성군,133465633.0,4.9,9821074.0,4.1,2018
강원특별자치도,동해시,133465633.0,4.9,10037318.0,4.2,2018
강원특별자치도,삼척시,133465633.0,4.9,11081392.0,4.7,2018
강원특별자치도,속초시,133465633.0,4.9,20767198.0,8.8,2018
강원특별자치도,양구군,133465633.0,4.9,2740426.0,1.2,2018
강원특별자치도,양양군,133465633.0,4.9,13226216.0,5.6,2018
강원특별자치도,영월군,133465633.0,4.9,6147978.0,2.6,2018
강원특별자치도,원주시,133465633.0,4.9,29589903.0,12.5,2018
강원특별자치도,인제군,133465633.0,4.9,8723666.0,3.7,2018
강원특별자치도,정선군,133465633.0,4.9,9008307.0,3.8,2018
강원특별자치도,철원군,133465633.0,4.9,5299042.0,2.2,2018
강원특별자치도,춘천시,133465633.0,4.9,26285707.0,11.1,2018
강원특별자치도,태백시,133465633.0,4.9,5048050.0,2.1,2018
강원특별자치도,평창군,133465633.0,4.9,14960620.0,6.3,2018
강원특별자치도,홍천군,133465633.0,4.9,15025465.0,6.3,2018
강원특별자치도,화천군,133465633.0,4.9,3787900.0,1.6,2018
강원특별자치도,횡성군,133465633.0,4.9,14251114.0,6.0,2018
경기도,가평군,584520363.0,21.4,24593978.0,1.6,2018
경기도,고양시,584520363.0,21.4,127615758.0,8.1,2018
경기도,과천시,584520363.0,21.4,19089592.0,1.2,2018
경기도,광명시,584520363.0,21.4,40368167.0,2.6,2018
경기도,광주시,584520363.0,21.4,43595220.0,2.8,2018
경기도,구리시,584520363.0,21.4,39439547.0,2.5,2018
경기도,군포시,584520363.0,21.4,24840974.0,1.6,2018
경기도,김포시,584520363.0,21.4,45065762.0,2.9,2018
경기도,남양주시,584520363.0,21.4,59661070.0,3.8,2018
경기도,동두천시,584520363.0,21.4,9491083.0,0.6,2018
경기도,부천시,584520363.0,21.4,75700422.0,4.8,2018
경기도,성남시,584520363.0,21.4,134659844.0,8.5,2018
경기도,수원시,584520363.0,21.4,155315990.0,9.8,2018
경기도,시흥시,584520363.0,21.4,48450356.0,3.1,2018
경기도,안산시,584520363.0,21.4,68983002.0,4.4,2018
경기도,안성시,584520363.0,21.4,31025956.0,2.0,2018
경기도,안양시,584520363.0,21.4,68791506.0,4.4,2018
경기도,양주시,584520363.0,21.4,27264909.0,1.7,2018
경기도,양평군,584520363.0,21.4,30421450.0,1.9,2018
경기도,여주시,584520363.0,21.4,26272082.0,1.7,2018
경기도,연천군,584520363.0,21.4,6620887.0,0.4,2018
경기도,오산시,584520363.0,21.4,24348146.0,1.5,2018
경기도,용인시,584520363.0,21.4,116130770.0,7.3,2018
경기도,의왕시,584520363.0,21.4,22713498.0,1.4,2018
경기도,의정부시,584520363.0,21.4,42029460.0,2.7,2018
경기도,이천시,584520363.0,21.4,37154705.0,2.4,2018
경기도,파주시,584520363.0,21.4,45784074.0,2.9,2018
경기도,평택시,584520363.0,21.4,37657056.0,2.4,2018
경기도,포천시,584520363.0,21.4,24478965.0,1.5,2018
경기도,하남시,584520363.0,21.4,40148941.0,2.5,2018
경기도,화성시,584520363.0,21.4,83008779.0,5.3,2018
경상남도,거제시,146715002.0,5.4,21390838.0,6.4,2018
경상남도,거창군,146715002.0,5.4,6325648.0,1.9,2018
경상남도,고성군,146715002.0,5.4,7896598.0,2.4,2018
경상남도,김해시,146715002.0,5.4,37900152.0,11.4,2018
경상남도,남해군,146715002.0,5.4,7928568.0,2.4,2018
경상남도,밀양시,146715002.0,5.4,11380670.0,3.4,2018
경상남도,사천시,146715002.0,5.4,15202106.0,4.6,2018
경상남도,산청군,146715002.0,5.4,6302964.0,1.9,2018
경상남도,양산시,146715002.0,5.4,30634628.0,9.2,2018
경상남도,의령군,146715002.0,5.4,3728515.0,1.1,2018
경상남도,진주시,146715002.0,5.4,23037948.0,6.9,2018
경상남도,창녕군,146715002.0,5.4,8959114.0,2.7,2018
경상남도,창원시,146715002.0,5.4,109360489.0,32.8,2018
경상남도,통영시,146715002.0,5.4,16468330.0,4.9,2018
경상남도,하동군,146715002.0,5.4,6477702.0,1.9,2018
경상남도,함안군,146715002.0,5.4,9216830.0,2.8,2018
경상남도,함양군,146715002.0,5.4,5080978.0,1.5,2018
경상남도,합천군,146715002.0,5.4,6268252.0,1.9,2018
경상북도,경산시,165693220.0,6.1,30796675.0,10.4,2018
경상북도,경주시,165693220.0,6.1,40358686.0,13.6,2018
경상북도,고령군,165693220.0,6.1,4988361.0,1.7,2018
경상북도,구미시,165693220.0,6.1,24554716.0,8.3,2018
경상북도,김천시,165693220.0,6.1,11802402.0,4.0,2018
경상북도,문경시,165693220.0,6.1,9697198.0,3.3,2018
경상북도,봉화군,165693220.0,6.1,3949890.0,1.3,2018
경상북도,상주시,165693220.0,6.1,11419390.0,3.9,2018
경상북도,성주군,165693220.0,6.1,6679029.0,2.3,2018
경상북도,안동시,165693220.0,6.1,18414046.0,6.2,2018
경상북도,영덕군,165693220.0,6.1,9171162.0,3.1,2018
경상북도,영양군,165693220.0,6.1,1584306.0,0.5,2018
경상북도,영주시,165693220.0,6.1,8722840.0,2.9,2018
경상북도,영천시,165693220.0,6.1,11592368.0,3.9,2018
경상북도,예천군,165693220.0,6.1,6095148.0,2.1,2018
경상북도,울릉군,165693220.0,6.1,1474616.0,0.5,2018
경상북도,울진군,165693220.0,6.1,7210822.0,2.4,2018
경상북도,의성군,165693220.0,6.1,6280516.0,2.1,2018
경상북도,청도군,165693220.0,6.1,8864198.0,3.0,2018
경상북도,청송군,165693220.0,6.1,5422025.0,1.8,2018
경상북도,칠곡군,165693220.0,6.1,17624898.0,6.0,2018
경상북도,포항시,165693220.0,6.1,49007126.0,16.6,2018
광주광역시,광산구,63518182.0,2.3,42064638.0,21.7,2018
광주광역시,남구,63518182.0,2.3,21244335.0,11.0,2018
광주광역시,동구,63518182.0,2.3,37269365.0,19.2,2018
광주광역시,북구,63518182.0,2.3,44304536.0,22.8,2018
광주광역시,서구,63518182.0,2.3,49030194.0,25.3,2018
대구광역시,군위군,104424348.0,3.8,6436784.0,1.8,2018
대구광역시,남구,104424348.0,3.8,29731835.0,8.2,2018
대구광역시,달서구,104424348.0,3.8,56229761.0,15.4,2018
대구광역시,달성군,104424348.0,3.8,27761156.0,7.6,2018
