기준년월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원,연도,월
201801,848838232.0,11387774442.0,279369329.0,2842134094.0,4234441960.0,2018,1
201802,780403848.0,10936359696.0,232086258.0,2632287120.0,4443633998.0,2018,2
201803,926393146.0,12127690202.0,228370907.0,3168296865.0,4710147277.0,2018,3
201804,845367722.0,12079685041.0,234568890.0,3187091011.0,4600001174.0,2018,4
201805,943287328.0,13160718700.0,266407306.0,3488347564.0,5028809623.0,2018,5
201806,899366122.0,12502791290.0,255609730.0,3273997934.0,4708424901.0,2018,6
201807,938387096.0,13054855207.0,307177362.0,3418941482.0,4839083399.0,2018,7
201808,929330636.0,13157382113.0,362034649.0,3577462961.0,4746933623.0,2018,8
201809,940478406.0,13292297168.0,259897469.0,3388228888.0,5400893732.0,2018,9
201810,934086366.0,13087160196.0,259244813.0,3432245959.0,5022904603.0,2018,10
201811,873025318.0,12478529902.0,239190894.0,3270051321.0,4770299682.0,2018,11
201812,913632304.0,13441752655.0,322996302.0,3718959668.0,5175249863.0,2018,12
201901,898036430.0,12389135824.0,283875432.0,3417438775.0,4603960252.0,2019,1
201902,812953816.0,11242731228.0,248256343.0,3097611579.0,4312687396.0,2019,2
201903,973110677.0,13073038211.0,249477743.0,3685327386.0,5053749304.0,2019,3
201904,847542342.0,12462619388.0,302511874.0,3359577998.0,4717128029.0,2019,4
201905,916801942.0,13792360650.0,337444675.0,3724141278.0,5232513713.0,2019,5
201906,878982528.0,13051062492.0,359049579.0,3547794777.0,4823968170.0,2019,6
201907,918205309.0,13143617625.0,422567490.0,3573184007.0,4682214080.0,2019,7
201908,946290023.0,13980015352.0,485127521.0,3958373028.0,4993809094.0,2019,8
201909,913651025.0,12758917361.0,317448625.0,3351840986.0,5097624091.0,2019,9
201910,924341184.0,13716741616.0,351070299.0,3797929682.0,5171772769.0,2019,10
201911,951398133.0,13400050026.0,331936833.0,3640111657.0,5233550371.0,2019,11
201912,951317598.0,14044143572.0,405587710.0,3984950587.0,5286347608.0,2019,12
202001,943069908.0,12897344171.0,354670149.0,3507173626.0,4877938207.0,2020,1
202002,825522498.0,9614625751.0,241684515.0,2741534175.0,3653214024.0,2020,2
202003,825791925.0,8990319384.0,175596537.0,2491060438.0,3682559483.0,2020,3
202004,833049774.0,9985599492.0,221131378.0,2903849568.0,4156671211.0,2020,4
202005,923599246.0,11853203992.0,290530274.0,3544616505.0,5053378723.0,2020,5
202006,904761560.0,11177217612.0,323232832.0,3276863768.0,4539362959.0,2020,6
202007,944921271.0,11669766020.0,459300508.0,3522980406.0,4451471619.0,2020,7
202008,912363232.0,11493119075.0,457213187.0,3362956258.0,4551848779.0,2020,8
202009,888366087.0,10832071305.0,267421509.0,2739140761.0,4928409083.0,2020,9
202010,947665342.0,11892367312.0,338764938.0,3381449014.0,5021228386.0,2020,10
202011,907055644.0,11174645833.0,326005639.0,3046115933.0,4822579416.0,2020,11
202012,842931162.0,9420973700.0,269745477.0,2116229413.0,4495921266.0,2020,12
202101,824546695.0,9234697754.0,249357952.0,2160401185.0,4331519076.0,2021,1
202102,813034044.0,9871930035.0,299955873.0,2457514438.0,4478777111.0,2021,2
202103,960705238.0,11311051287.0,314608363.0,2973735656.0,4839481972.0,2021,3
202104,905343834.0,11544257618.0,346903964.0,3068809908.0,4831370042.0,2021,4
202105,976772514.0,12304215667.0,406794692.0,3294264684.0,5209170949.0,2021,5
202106,967795356.0,11809689637.0,447167799.0,3144017903.0,4739448942.0,2021,6
202107,965408826.0,11776951882.0,520920595.0,2986296045.0,4746701320.0,2021,7
202108,949528786.0,11577161438.0,489124636.0,2922275209.0,4755680149.0,2021,8
202109,965614024.0,12225289493.0,390010035.0,2997814512.0,5366225337.0,2021,9
202110,1004009363.0,13630593422.0,491156574.0,3535261560.0,5697128234.0,2021,10
202111,970154325.0,13279274052.0,459877882.0,3557830899.0,5313394517.0,2021,11
202112,966610656.0,12631742209.0,483651244.0,3263511692.0,5337473835.0,2021,12
202201,945794955.0,12384084468.0,484629188.0,3047362201.0,5488913997.0,2022,1
202202,838495382.0,9856367402.0,398357703.0,2436812483.0,4151126887.0,2022,2
202203,970266812.0,12029765436.0,379112682.0,2972102628.0,4959763545.0,2022,3
202204,976369936.0,14006422958.0,472353886.0,3797285058.0,5374802914.0,2022,4
202205,1040685814.0,15709053469.0,540844629.0,4421791661.0,5813809364.0,2022,5
202206,1005584752.0,14499837901.0,566607809.0,4024800824.0,5194832967.0,2022,6
202207,1079656606.0,15324142343.0,694452874.0,4301388876.0,5392265047.0,2022,7
202208,1040400067.0,14819934176.0,667344187.0,4223953839.0,5332826700.0,2022,8
202209,1056008968.0,14419780846.0,490277840.0,3942683329.0,5512837766.0,2022,9
202210,1080857827.0,16157130192.0,576986451.0,4627409185.0,6048752508.0,2022,10
202211,1046344274.0,14557722370.0,502490274.0,4030801996.0,5406165576.0,2022,11
202212,1038421822.0,15239741935.0,564270093.0,4303501090.0,5788318803.0,2022,12
202301,1024451480.0,14014004070.0,522765662.0,3921163176.0,5346983294.0,2023,1
202302,952934076.0,13141761429.0,471319547.0,3862093854.0,4693787458.0,2023,2
202303,1094923050.0,14582793278.0,444572699.0,4240767926.0,5385378163.0,2023,3
202304,1017128112.0,14653804125.0,507503515.0,4279822677.0,5383234545.0,2023,4
202305,1104360754.0,15356449220.0,526323502.0,4474352491.0,5696008845.0,2023,5
202306,1012866082.0,14474920846.0,524587942.0,4227007389.0,5217551284.0,2023,6
202307,1027997831.0,15089924789.0,638389482.0,4390973034.0,5393762280.0,2023,7
202308,1022562846.0,15163038260.0,641690971.0,4458118447.0,5266464907.0,2023,8
202309,1012894382.0,15500996763.0,503936942.0,4284844217.0,5847256012.0,2023,9
