광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.33465633E8,4.9,2.6285707E7,11.1
강원특별자치도,원주시,1.33465633E8,4.9,2.9589903E7,12.5
강원특별자치도,강릉시,1.33465633E8,4.9,3.1244031E7,13.2
강원특별자치도,동해시,1.33465633E8,4.9,1.0037318E7,4.2
강원특별자치도,태백시,1.33465633E8,4.9,5048050.0,2.1
강원특별자치도,속초시,1.33465633E8,4.9,2.0767198E7,8.8
강원특별자치도,삼척시,1.33465633E8,4.9,1.1081392E7,4.7
강원특별자치도,홍천군,1.33465633E8,4.9,1.5025465E7,6.3
강원특별자치도,횡성군,1.33465633E8,4.9,1.4251114E7,6.0
강원특별자치도,영월군,1.33465633E8,4.9,6147978.0,2.6
강원특별자치도,평창군,1.33465633E8,4.9,1.496062E7,6.3
강원특별자치도,정선군,1.33465633E8,4.9,9008307.0,3.8
강원특별자치도,철원군,1.33465633E8,4.9,5299042.0,2.2
강원특별자치도,화천군,1.33465633E8,4.9,3787900.0,1.6
강원특별자치도,양구군,1.33465633E8,4.9,2740426.0,1.2
강원특별자치도,인제군,1.33465633E8,4.9,8723666.0,3.7
강원특별자치도,고성군,1.33465633E8,4.9,9821074.0,4.1
강원특별자치도,양양군,1.33465633E8,4.9,1.3226216E7,5.6
경기도,수원시,5.84520363E8,21.4,1.5531599E8,9.8
경기도,성남시,5.84520363E8,21.4,1.34659844E8,8.5
경기도,의정부시,5.84520363E8,21.4,4.202946E7,2.7
경기도,안양시,5.84520363E8,21.4,6.8791506E7,4.4
경기도,부천시,5.84520363E8,21.4,7.5700422E7,4.8
경기도,광명시,5.84520363E8,21.4,4.0368167E7,2.6
경기도,평택시,5.84520363E8,21.4,3.7657056E7,2.4
경기도,동두천시,5.84520363E8,21.4,9491083.0,0.6
경기도,안산시,5.84520363E8,21.4,6.8983002E7,4.4
경기도,고양시,5.84520363E8,21.4,1.27615758E8,8.1
경기도,과천시,5.84520363E8,21.4,1.9089592E7,1.2
경기도,구리시,5.84520363E8,21.4,3.9439547E7,2.5
경기도,남양주시,5.84520363E8,21.4,5.966107E7,3.8
경기도,오산시,5.84520363E8,21.4,2.4348146E7,1.5
경기도,시흥시,5.84520363E8,21.4,4.8450356E7,3.1
경기도,군포시,5.84520363E8,21.4,2.4840974E7,1.6
경기도,의왕시,5.84520363E8,21.4,2.2713498E7,1.4
경기도,하남시,5.84520363E8,21.4,4.0148941E7,2.5
경기도,용인시,5.84520363E8,21.4,1.1613077E8,7.3
경기도,파주시,5.84520363E8,21.4,4.5784074E7,2.9
경기도,이천시,5.84520363E8,21.4,3.7154705E7,2.4
경기도,안성시,5.84520363E8,21.4,3.1025956E7,2.0
경기도,김포시,5.84520363E8,21.4,4.5065762E7,2.9
경기도,화성시,5.84520363E8,21.4,8.3008779E7,5.3
경기도,광주시,5.84520363E8,21.4,4.359522E7,2.8
경기도,양주시,5.84520363E8,21.4,2.7264909E7,1.7
경기도,포천시,5.84520363E8,21.4,2.4478965E7,1.5
경기도,여주시,5.84520363E8,21.4,2.6272082E7,1.7
경기도,연천군,5.84520363E8,21.4,6620887.0,0.4
경기도,가평군,5.84520363E8,21.4,2.4593978E7,1.6
경기도,양평군,5.84520363E8,21.4,3.042145E7,1.9
경상남도,창원시,1.46715002E8,5.4,1.09360489E8,32.8
경상남도,진주시,1.46715002E8,5.4,2.3037948E7,6.9
경상남도,통영시,1.46715002E8,5.4,1.646833E7,4.9
경상남도,사천시,1.46715002E8,5.4,1.5202106E7,4.6
경상남도,김해시,1.46715002E8,5.4,3.7900152E7,11.4
경상남도,밀양시,1.46715002E8,5.4,1.138067E7,3.4
경상남도,거제시,1.46715002E8,5.4,2.1390838E7,6.4
경상남도,양산시,1.46715002E8,5.4,3.0634628E7,9.2
경상남도,의령군,1.46715002E8,5.4,3728515.0,1.1
경상남도,함안군,1.46715002E8,5.4,9216830.0,2.8
경상남도,창녕군,1.46715002E8,5.4,8959114.0,2.7
경상남도,고성군,1.46715002E8,5.4,7896598.0,2.4
경상남도,남해군,1.46715002E8,5.4,7928568.0,2.4
경상남도,하동군,1.46715002E8,5.4,6477702.0,1.9
경상남도,산청군,1.46715002E8,5.4,6302964.0,1.9
경상남도,함양군,1.46715002E8,5.4,5080978.0,1.5
경상남도,거창군,1.46715002E8,5.4,6325648.0,1.9
경상남도,합천군,1.46715002E8,5.4,6268252.0,1.9
경상북도,포항시,1.6569322E8,6.1,4.9007126E7,16.6
경상북도,경주시,1.6569322E8,6.1,4.0358686E7,13.6
경상북도,김천시,1.6569322E8,6.1,1.1802402E7,4.0
경상북도,안동시,1.6569322E8,6.1,1.8414046E7,6.2
경상북도,구미시,1.6569322E8,6.1,2.4554716E7,8.3
경상북도,영주시,1.6569322E8,6.1,8722840.0,2.9
경상북도,영천시,1.6569322E8,6.1,1.1592368E7,3.9
경상북도,상주시,1.6569322E8,6.1,1.141939E7,3.9
경상북도,문경시,1.6569322E8,6.1,9697198.0,3.3
경상북도,경산시,1.6569322E8,6.1,3.0796675E7,10.4
경상북도,의성군,1.6569322E8,6.1,6280516.0,2.1
경상북도,청송군,1.6569322E8,6.1,5422025.0,1.8
경상북도,영양군,1.6569322E8,6.1,1584306.0,0.5
경상북도,영덕군,1.6569322E8,6.1,9171162.0,3.1
경상북도,청도군,1.6569322E8,6.1,8864198.0,3.0
경상북도,고령군,1.6569322E8,6.1,4988361.0,1.7
경상북도,성주군,1.6569322E8,6.1,6679029.0,2.3
경상북도,칠곡군,1.6569322E8,6.1,1.7624898E7,6.0
경상북도,예천군,1.6569322E8,6.1,6095148.0,2.1
경상북도,봉화군,1.6569322E8,6.1,3949890.0,1.3
경상북도,울진군,1.6569322E8,6.1,7210822.0,2.4
경상북도,울릉군,1.6569322E8,6.1,1474616.0,0.5
광주광역시,동구,6.3518182E7,2.3,3.7269365E7,19.2
광주광역시,서구,6.3518182E7,2.3,4.9030194E7,25.3
광주광역시,남구,6.3518182E7,2.3,2.1244335E7,11.0
광주광역시,북구,6.3518182E7,2.3,4.4304536E7,22.8
광주광역시,광산구,6.3518182E7,2.3,4.2064638E7,21.7
대구광역시,중구,1.04424348E8,3.8,7.2231537E7,19.8
대구광역시,동구,1.04424348E8,3.8,5.2672207E7,14.5
대구광역시,서구,1.04424348E8,3.8,2.2063808E7,6.1
대구광역시,남구,1.04424348E8,3.8,2.9731835E7,8.2
대구광역시,북구,1.04424348E8,3.8,4.8350242E7,13.3
대구광역시,수성구,1.04424348E8,3.8,4.8699892E7,13.4
대구광역시,달서구,1.04424348E8,3.8,5.6229761E7,15.4
대구광역시,달성군,1.04424348E8,3.8,2.7761156E7,7.6
대구광역시,군위군,1.04424348E8,3.8,6436784.0,1.8
대전광역시,동구,8.2200738E7,3.0,3.4413544E7,15.9
대전광역시,중구,8.2200738E7,3.0,4.5813873E7,21.1
대전광역시,서구,8.2200738E7,3.0,5.8778125E7,27.1
대전광역시,유성구,8.2200738E7,3.0,5.4972309E7,25.3
대전광역시,대덕구,8.2200738E7,3.0,2.30272E7,10.6
부산광역시,중구,1.457176E8,5.3,3.9916362E7,7.3
부산광역시,서구,1.457176E8,5.3,1.9758844E7,3.6
부산광역시,동구,1.457176E8,5.3,3.3016098E7,6.1
부산광역시,영도구,1.457176E8,5.3,1.4724927E7,2.7
부산광역시,부산진구,1.457176E8,5.3,7.1094488E7,13.0
부산광역시,동래구,1.457176E8,5.3,3.763521E7,6.9
부산광역시,남구,1.457176E8,5.3,3.038771E7,5.6
부산광역시,북구,1.457176E8,5.3,1.9572777E7,3.6
부산광역시,해운대구,1.457176E8,5.3,6.4294377E7,11.8
부산광역시,사하구,1.457176E8,5.3,2.324826E7,4.3
부산광역시,금정구,1.457176E8,5.3,3.0656521E7,5.6
부산광역시,강서구,1.457176E8,5.3,3.2112535E7,5.9
부산광역시,연제구,1.457176E8,5.3,2.7314294E7,5.0
부산광역시,수영구,1.457176E8,5.3,3.431435E7,6.3
부산광역시,사상구,1.457176E8,5.3,3.3129159E7,6.1
부산광역시,기장군,1.457176E8,5.3,3.4420284E7,6.3
서울특별시,종로구,5.85384894E8,21.4,1.34545467E8,7.1
서울특별시,중구,5.85384894E8,21.4,1.35541108E8,7.1
서울특별시,용산구,5.85384894E8,21.4,9.8389532E7,5.2
서울특별시,성동구,5.85384894E8,21.4,5.1106276E7,2.7
서울특별시,광진구,5.85384894E8,21.4,7.3488124E7,3.9
서울특별시,동대문구,5.85384894E8,21.4,5.5464244E7,2.9
서울특별시,중랑구,5.85384894E8,21.4,3.6027873E7,1.9
서울특별시,성북구,5.85384894E8,21.4,5.0484676E7,2.7
서울특별시,강북구,5.85384894E8,21.4,3.2978942E7,1.7
서울특별시,도봉구,5.85384894E8,21.4,2.8976899E7,1.5
서울특별시,노원구,5.85384894E8,21.4,5.2721876E7,2.8
서울특별시,은평구,5.85384894E8,21.4,3.5401359E7,1.9
서울특별시,서대문구,5.85384894E8,21.4,8.5388541E7,4.5
서울특별시,마포구,5.85384894E8,21.4,1.19583471E8,6.3
서울특별시,양천구,5.85384894E8,21.4,3.7525047E7,2.0
서울특별시,강서구,5.85384894E8,21.4,6.1280317E7,3.2
서울특별시,구로구,5.85384894E8,21.4,5.7527687E7,3.0
서울특별시,금천구,5.85384894E8,21.4,2.9880722E7,1.6
서울특별시,영등포구,5.85384894E8,21.4,1.0340282E8,5.4
서울특별시,동작구,5.85384894E8,21.4,5.7482719E7,3.0
서울특별시,관악구,5.85384894E8,21.4,5.274487E7,2.8
서울특별시,서초구,5.85384894E8,21.4,1.52368332E8,8.0
서울특별시,강남구,5.85384894E8,21.4,1.96553004E8,10.3
서울특별시,송파구,5.85384894E8,21.4,1.13352673E8,6.0
서울특별시,강동구,5.85384894E8,21.4,4.8920098E7,2.6
세종특별자치시,세종특별자치시,2.3021856E7,0.8,2.6215329E7,100.0
울산광역시,중구,4.5732718E7,1.7,2.4768905E7,19.0
울산광역시,남구,4.5732718E7,1.7,4.4527868E7,34.2
울산광역시,동구,4.5732718E7,1.7,1.1905397E7,9.1
울산광역시,북구,4.5732718E7,1.7,2.0357474E7,15.6
울산광역시,울주군,4.5732718E7,1.7,2.8682976E7,22.0
인천광역시,중구,1.53429882E8,5.6,5.575003E7,16.7
인천광역시,동구,1.53429882E8,5.6,8803924.0,2.6
인천광역시,미추홀구,1.53429882E8,5.6,4.2655914E7,12.8
인천광역시,연수구,1.53429882E8,5.6,3.7733899E7,11.3
인천광역시,남동구,1.53429882E8,5.6,4.8557019E7,14.6
인천광역시,부평구,1.53429882E8,5.6,5.1548966E7,15.5
인천광역시,계양구,1.53429882E8,5.6,2.813994E7,8.4
인천광역시,서구,1.53429882E8,5.6,4.1231617E7,12.4
인천광역시,강화군,1.53429882E8,5.6,1.4054982E7,4.2
인천광역시,옹진군,1.53429882E8,5.6,4749276.0,1.4
전라남도,목포시,1.11307102E8,4.1,2.235507E7,10.6
전라남도,여수시,1.11307102E8,4.1,2.281328E7,10.8
전라남도,순천시,1.11307102E8,4.1,2.230199E7,10.6
전라남도,나주시,1.11307102E8,4.1,1.3874329E7,6.6
전라남도,광양시,1.11307102E8,4.1,1.2060538E7,5.7
전라남도,담양군,1.11307102E8,4.1,1.3408444E7,6.3
전라남도,곡성군,1.11307102E8,4.1,4895138.0,2.3
전라남도,구례군,1.11307102E8,4.1,5307351.0,2.5
전라남도,고흥군,1.11307102E8,4.1,5288812.0,2.5
전라남도,보성군,1.11307102E8,4.1,6232930.0,3.0
전라남도,화순군,1.11307102E8,4.1,1.1108167E7,5.3
전라남도,장흥군,1.11307102E8,4.1,4616252.0,2.2
전라남도,강진군,1.11307102E8,4.1,5352980.0,2.5
전라남도,해남군,1.11307102E8,4.1,7453761.0,3.5
전라남도,영암군,1.11307102E8,4.1,8842855.0,4.2
전라남도,무안군,1.11307102E8,4.1,1.2418301E7,5.9
전라남도,함평군,1.11307102E8,4.1,5343051.0,2.5
전라남도,영광군,1.11307102E8,4.1,6385250.0,3.0
전라남도,장성군,1.11307102E8,4.1,8040207.0,3.8
전라남도,완도군,1.11307102E8,4.1,5317294.0,2.5
전라남도,진도군,1.11307102E8,4.1,3377766.0,1.6
전라남도,신안군,1.11307102E8,4.1,4370502.0,2.1
전북특별자치도,전주시,8.9167253E7,3.3,6.5585124E7,33.1
전북특별자치도,군산시,8.9167253E7,3.3,2.2728282E7,11.5
전북특별자치도,익산시,8.9167253E7,3.3,2.1528185E7,10.9
전북특별자치도,정읍시,8.9167253E7,3.3,1.0284676E7,5.2
전북특별자치도,남원시,8.9167253E7,3.3,9371824.0,4.7
전북특별자치도,김제시,8.9167253E7,3.3,1.0095222E7,5.1
전북특별자치도,완주군,8.9167253E7,3.3,1.6344398E7,8.2
전북특별자치도,진안군,8.9167253E7,3.3,4120599.0,2.1
전북특별자치도,무주군,8.9167253E7,3.3,7915047.0,4.0
전북특별자치도,장수군,8.9167253E7,3.3,2740182.0,1.4
전북특별자치도,임실군,8.9167253E7,3.3,4981442.0,2.5
전북특별자치도,순창군,8.9167253E7,3.3,3947674.0,2.0
전북특별자치도,고창군,8.9167253E7,3.3,9181994.0,4.6
전북특별자치도,부안군,8.9167253E7,3.3,9306266.0,4.7
제주특별자치도,제주시,5.0818236E7,1.9,5.037542E7,56.4
제주특별자치도,서귀포시,5.0818236E7,1.9,3.8905902E7,43.6
충청남도,천안시,1.48008816E8,5.4,7.3127036E7,27.5
충청남도,공주시,1.48008816E8,5.4,2.5486048E7,9.6
충청남도,보령시,1.48008816E8,5.4,1.5018468E7,5.6
충청남도,아산시,1.48008816E8,5.4,3.1056837E7,11.7
충청남도,서산시,1.48008816E8,5.4,1.7180989E7,6.5
충청남도,논산시,1.48008816E8,5.4,1.3983186E7,5.3
충청남도,계룡시,1.48008816E8,5.4,4371388.0,1.6
충청남도,당진시,1.48008816E8,5.4,1.6307652E7,6.1
충청남도,금산군,1.48008816E8,5.4,9665246.0,3.6
충청남도,부여군,1.48008816E8,5.4,1.0074592E7,3.8
충청남도,서천군,1.48008816E8,5.4,8256532.0,3.1
충청남도,청양군,1.48008816E8,5.4,4489541.0,1.7
충청남도,홍성군,1.48008816E8,5.4,1.1360818E7,4.3
충청남도,예산군,1.48008816E8,5.4,1.1831904E7,4.4
충청남도,태안군,1.48008816E8,5.4,1.3695784E7,5.2
충청북도,청주시,1.01864945E8,3.7,9.905839E7,48.0
충청북도,충주시,1.01864945E8,3.7,2.2583008E7,10.9
충청북도,제천시,1.01864945E8,3.7,1.3109649E7,6.4
충청북도,보은군,1.01864945E8,3.7,7367006.0,3.6
충청북도,옥천군,1.01864945E8,3.7,1.0612136E7,5.1
충청북도,영동군,1.01864945E8,3.7,6082556.0,2.9
충청북도,증평군,1.01864945E8,3.7,5051680.0,2.4
충청북도,진천군,1.01864945E8,3.7,1.087134E7,5.3
충청북도,괴산군,1.01864945E8,3.7,8397568.0,4.1
충청북도,음성군,1.01864945E8,3.7,1.4875956E7,7.2
충청북도,단양군,1.01864945E8,3.7,8263087.0,4.0
