기준년월,광역지자체,중분류,지출액(천원)
202301,전국,관광총소비,1.401400407E10
202302,전국,관광총소비,1.3141761429E10
202303,전국,관광총소비,1.4582793278E10
202304,전국,관광총소비,1.4653804125E10
202305,전국,관광총소비,1.535644922E10
202306,전국,관광총소비,1.4474920846E10
202307,전국,관광총소비,1.5089924789E10
202308,전국,관광총소비,1.516303826E10
202309,전국,관광총소비,1.5500996763E10
202310,전국,관광총소비,1.5496411824E10
202311,전국,관광총소비,1.4409059825E10
202312,전국,관광총소비,1.5440200771E10
202301,전국,호텔,1.56306432E8
202301,전국,콘도,6.7213532E7
202301,전국,기타숙박,2.93043862E8
202301,전국,여행업,2.72862016E8
202301,전국,육상운송,2.681186373E9
202301,전국,항공운송,5.37979409E8
202301,전국,렌터카,5.067802E7
202301,전국,면세점,1.3103345E8
202301,전국,레저용품쇼핑,2.92839796E8
202301,전국,관광유원시설,3.1827276E7
202301,전국,골프장,9.5867472E7
202301,전국,기타레저,1.51028847E8
202301,전국,문화서비스,1.32124061E8
202301,전국,캠핑장/펜션,6201836.0
202301,전국,대형쇼핑몰,2.641480375E9
202301,전국,기타관광쇼핑,2.281629673E9
202301,전국,수상운송,7111627.0
202301,전국,뷰티,2.53898303E8
202301,전국,일반외식업,3.320788152E9
202301,전국,제과음료업,6.00375024E8
202301,전국,스키장,8528533.0
202302,전국,호텔,1.41286731E8
202302,전국,콘도,5.3740659E7
202302,전국,기타숙박,2.69909491E8
202302,전국,여행업,2.93561622E8
202302,전국,육상운송,2.451686797E9
202302,전국,항공운송,6.01222166E8
202302,전국,렌터카,4.7824869E7
202302,전국,면세점,1.23171078E8
202302,전국,레저용품쇼핑,3.062718E8
202302,전국,관광유원시설,4.0929998E7
202302,전국,골프장,1.68960125E8
202302,전국,기타레저,1.42405196E8
202302,전국,문화서비스,1.05787139E8
202302,전국,캠핑장/펜션,6382666.0
202302,전국,대형쇼핑몰,2.36995713E9
202302,전국,기타관광쇼핑,1.89438745E9
202302,전국,수상운송,7331488.0
202302,전국,뷰티,2.48839441E8
202302,전국,일반외식업,3.278554979E9
202302,전국,제과음료업,5.83538875E8
202302,전국,스키장,6011729.0
202303,전국,호텔,1.19830587E8
202303,전국,콘도,2.784652E7
202303,전국,기타숙박,2.9042148E8
202303,전국,여행업,3.09398243E8
202303,전국,육상운송,2.666636975E9
202303,전국,항공운송,5.5342174E8
202303,전국,렌터카,5.349863E7
202303,전국,면세점,1.2401076E8
202303,전국,레저용품쇼핑,3.85214633E8
202303,전국,관광유원시설,3.4637606E7
202303,전국,골프장,3.30076459E8
202303,전국,기타레저,1.51612194E8
202303,전국,문화서비스,1.09772479E8
202303,전국,캠핑장/펜션,6474112.0
202303,전국,대형쇼핑몰,2.678785839E9
202303,전국,기타관광쇼핑,2.197366931E9
202303,전국,수상운송,9228286.0
202303,전국,뷰티,2.93508421E8
202303,전국,일반외식업,3.580728595E9
202303,전국,제과음료업,6.60039331E8
202303,전국,스키장,283456.0
202304,전국,호텔,1.37314033E8
202304,전국,콘도,3.7958602E7
202304,전국,기타숙박,3.24683827E8
202304,전국,여행업,3.07052434E8
202304,전국,육상운송,2.609148487E9
202304,전국,항공운송,5.29750922E8
202304,전국,렌터카,5.3374306E7
202304,전국,면세점,1.36630321E8
202304,전국,레저용품쇼핑,3.98408842E8
202304,전국,관광유원시설,5.2126153E7
202304,전국,골프장,3.8149709E8
202304,전국,기타레저,1.51991962E8
202304,전국,문화서비스,1.23259008E8
202304,전국,캠핑장/펜션,7547053.0
202304,전국,대형쇼핑몰,2.652507169E9
202304,전국,기타관광쇼핑,2.195688213E9
202304,전국,수상운송,1.1277033E7
202304,전국,뷰티,2.63495512E8
202304,전국,일반외식업,3.613078273E9
202304,전국,제과음료업,6.66744404E8
202304,전국,스키장,270479.0
202305,전국,호텔,1.51509244E8
202305,전국,콘도,4.5963252E7
202305,전국,기타숙박,3.2068986E8
202305,전국,여행업,3.33871227E8
202305,전국,육상운송,2.673675269E9
202305,전국,항공운송,5.31873131E8
202305,전국,렌터카,5.4252796E7
202305,전국,면세점,1.54555274E8
202305,전국,레저용품쇼핑,4.33841554E8
202305,전국,관광유원시설,5.8378274E7
202305,전국,골프장,4.0783996E8
202305,전국,기타레저,1.58427754E8
202305,전국,문화서비스,1.51465135E8
202305,전국,캠핑장/펜션,8161146.0
202305,전국,대형쇼핑몰,2.763870975E9
202305,전국,기타관광쇼핑,2.343741042E9
202305,전국,수상운송,1.0832759E7
202305,전국,뷰티,2.7873015E8
202305,전국,일반외식업,3.772162933E9
202305,전국,제과음료업,7.02189558E8
202305,전국,스키장,417925.0
202306,전국,호텔,1.38119377E8
202306,전국,콘도,5.057071E7
202306,전국,기타숙박,3.27789773E8
202306,전국,여행업,3.27899622E8
202306,전국,육상운송,2.510545867E9
202306,전국,항공운송,5.10753371E8
202306,전국,렌터카,5.4624227E7
202306,전국,면세점,1.46213462E8
202306,전국,레저용품쇼핑,3.49627346E8
202306,전국,관광유원시설,5.2657742E7
202306,전국,골프장,4.07219212E8
202306,전국,기타레저,1.59558408E8
202306,전국,문화서비스,1.78969128E8
202306,전국,캠핑장/펜션,8108082.0
202306,전국,대형쇼핑몰,2.46420514E9
202306,전국,기타관광쇼핑,2.257505336E9
202306,전국,수상운송,1.0542855E7
202306,전국,뷰티,2.92360755E8
202306,전국,일반외식업,3.555531121E9
202306,전국,제과음료업,6.71476268E8
202306,전국,스키장,643043.0
202307,전국,호텔,1.62427811E8
202307,전국,콘도,7.4576822E7
202307,전국,기타숙박,3.9224296E8
202307,전국,여행업,4.13386492E8
202307,전국,육상운송,2.625681762E9
202307,전국,항공운송,5.45951539E8
202307,전국,렌터카,6.2872255E7
202307,전국,면세점,1.4319877E8
202307,전국,레저용품쇼핑,3.35913432E8
202307,전국,관광유원시설,5.9746837E7
202307,전국,골프장,3.25410958E8
202307,전국,기타레저,1.67973924E8
202307,전국,문화서비스,1.70477879E8
202307,전국,캠핑장/펜션,9141889.0
202307,전국,대형쇼핑몰,2.620900096E9
202307,전국,기타관광쇼핑,2.293749982E9
202307,전국,수상운송,7753567.0
202307,전국,뷰티,2.86532961E8
202307,전국,일반외식업,3.695578894E9
202307,전국,제과음료업,6.9539414E8
202307,전국,스키장,1011819.0
202308,전국,호텔,1.8189975E8
202308,전국,콘도,9.4128254E7
202308,전국,기타숙박,3.55032822E8
202308,전국,여행업,3.45860946E8
202308,전국,육상운송,2.850604799E9
202308,전국,항공운송,5.31414796E8
202308,전국,렌터카,6.1776486E7
202308,전국,면세점,1.47198257E8
202308,전국,레저용품쇼핑,2.99183208E8
202308,전국,관광유원시설,7.2392996E7
202308,전국,골프장,3.15058418E8
202308,전국,기타레저,1.71757432E8
202308,전국,문화서비스,1.60920643E8
202308,전국,캠핑장/펜션,1.0630145E7
202308,전국,대형쇼핑몰,2.409801034E9
202308,전국,기타관광쇼핑,2.410282408E9
202308,전국,수상운송,9172383.0
202308,전국,뷰티,2.76466916E8
202308,전국,일반외식업,3.743683974E9
202308,전국,제과음료업,7.14434473E8
202308,전국,스키장,1338120.0
202309,전국,호텔,1.45529667E8
202309,전국,콘도,4.3596929E7
202309,전국,기타숙박,3.07329141E8
202309,전국,여행업,3.6791861E8
202309,전국,육상운송,2.963390512E9
202309,전국,항공운송,4.60499693E8
202309,전국,렌터카,5.7653768E7
202309,전국,면세점,1.56038499E8
202309,전국,레저용품쇼핑,3.38621685E8
202309,전국,관광유원시설,6.1878395E7
202309,전국,골프장,3.7562565E8
202309,전국,기타레저,1.64547806E8
202309,전국,문화서비스,1.18139943E8
202309,전국,캠핑장/펜션,7481205.0
202309,전국,대형쇼핑몰,2.676459685E9
202309,전국,기타관광쇼핑,2.676136143E9
202309,전국,수상운송,9303375.0
202309,전국,뷰티,2.85552109E8
202309,전국,일반외식업,3.587694286E9
202309,전국,제과음료업,6.97149931E8
202309,전국,스키장,449729.0
202310,전국,호텔,1.49851311E8
202310,전국,콘도,4.701914E7
202310,전국,기타숙박,3.01557354E8
202310,전국,여행업,3.47752943E8
202310,전국,육상운송,2.923096793E9
202310,전국,항공운송,4.84204127E8
202310,전국,렌터카,5.2949509E7
202310,전국,면세점,1.39177937E8
202310,전국,레저용품쇼핑,4.65466829E8
202310,전국,관광유원시설,7.1315236E7
202310,전국,골프장,4.36355317E8
202310,전국,기타레저,1.61107054E8
202310,전국,문화서비스,1.19703603E8
202310,전국,캠핑장/펜션,8209165.0
202310,전국,대형쇼핑몰,2.841936417E9
202310,전국,기타관광쇼핑,2.305222788E9
202310,전국,수상운송,1.1794685E7
202310,전국,뷰티,2.72759699E8
202310,전국,일반외식업,3.671966684E9
202310,전국,제과음료업,6.8446901E8
202310,전국,스키장,496222.0
202311,전국,호텔,1.28311015E8
202311,전국,콘도,3.3983953E7
202311,전국,기타숙박,2.85130635E8
202311,전국,여행업,3.59441428E8
202311,전국,육상운송,2.780550289E9
202311,전국,항공운송,5.00126577E8
202311,전국,렌터카,4.7787398E7
202311,전국,면세점,1.39991417E8
202311,전국,레저용품쇼핑,4.31506549E8
202311,전국,관광유원시설,3.6830346E7
202311,전국,골프장,3.22123995E8
202311,전국,기타레저,1.38254818E8
202311,전국,문화서비스,1.10162112E8
202311,전국,캠핑장/펜션,6520543.0
202311,전국,대형쇼핑몰,2.780764852E9
202311,전국,기타관광쇼핑,2.136804137E9
202311,전국,수상운송,6910455.0
