기준년월,광역지자체,방문자 구분,방문자 수
202301,전국,외지인방문자(b),2.38220888E8
202301,전국,전체방문자(a+b),1.02445148E9
202301,전국,현지인방문자(a),7.86230592E8
202302,전국,외지인방문자(b),2.15615824E8
202302,전국,전체방문자(a+b),9.52934076E8
202302,전국,현지인방문자(a),7.37318253E8
202303,전국,외지인방문자(b),2.61480278E8
202303,전국,전체방문자(a+b),1.09492305E9
202303,전국,현지인방문자(a),8.33442771E8
202304,전국,외지인방문자(b),2.26840876E8
202304,전국,전체방문자(a+b),1.017128112E9
202304,전국,현지인방문자(a),7.90287236E8
202305,전국,외지인방문자(b),2.48242194E8
202305,전국,전체방문자(a+b),1.104360754E9
202305,전국,현지인방문자(a),8.5611856E8
202306,전국,외지인방문자(b),2.32751628E8
202306,전국,전체방문자(a+b),1.012866082E9
202306,전국,현지인방문자(a),7.80114454E8
202307,전국,외지인방문자(b),2.48473172E8
202307,전국,전체방문자(a+b),1.027997831E9
202307,전국,현지인방문자(a),7.79524658E8
202308,전국,외지인방문자(b),2.5609997E8
202308,전국,전체방문자(a+b),1.022562846E9
202308,전국,현지인방문자(a),7.66462876E8
202309,전국,외지인방문자(b),2.64684301E8
202309,전국,전체방문자(a+b),1.012894382E9
202309,전국,현지인방문자(a),7.48210082E8
202310,전국,외지인방문자(b),2.59500927E8
202310,전국,전체방문자(a+b),1.064151914E9
202310,전국,현지인방문자(a),8.04650987E8
202311,전국,외지인방문자(b),2.2690044E8
202311,전국,전체방문자(a+b),1.018141579E9
202311,전국,현지인방문자(a),7.9124114E8
202312,전국,외지인방문자(b),2.36260266E8
202312,전국,전체방문자(a+b),1.01904447E9
202312,전국,현지인방문자(a),7.82784205E8
