광역지자체 명,기초지자체 명,광역지자체 지출액 비율(%),기초지자체 지출액 비율(%)
강원특별자치도,강릉시,3.2,15.5
강원특별자치도,고성군,3.2,3.1
강원특별자치도,동해시,3.2,4.0
강원특별자치도,삼척시,3.2,3.2
강원특별자치도,속초시,3.2,12.1
강원특별자치도,양구군,3.2,0.6
강원특별자치도,양양군,3.2,3.9
강원특별자치도,영월군,3.2,1.9
강원특별자치도,원주시,3.2,15.3
강원특별자치도,인제군,3.2,2.2
강원특별자치도,정선군,3.2,3.1
강원특별자치도,철원군,3.2,1.4
강원특별자치도,춘천시,3.2,11.6
강원특별자치도,태백시,3.2,1.9
강원특별자치도,평창군,3.2,6.1
강원특별자치도,홍천군,3.2,8.5
강원특별자치도,화천군,3.2,0.7
강원특별자치도,횡성군,3.2,5.0
경기도,가평군,24.4,1.1
경기도,고양시,24.4,9.1
경기도,과천시,24.4,0.5
경기도,광명시,24.4,1.5
경기도,광주시,24.4,2.1
경기도,구리시,24.4,1.6
경기도,군포시,24.4,0.9
경기도,김포시,24.4,3.5
경기도,남양주시,24.4,3.6
경기도,동두천시,24.4,0.3
경기도,부천시,24.4,4.6
경기도,성남시,24.4,9.2
경기도,수원시,24.4,9.6
경기도,시흥시,24.4,3.1
경기도,안산시,24.4,4.0
경기도,안성시,24.4,2.6
경기도,안양시,24.4,3.9
경기도,양주시,24.4,1.6
경기도,양평군,24.4,1.0
경기도,여주시,24.4,2.7
경기도,연천군,24.4,0.2
경기도,오산시,24.4,1.3
경기도,용인시,24.4,9.1
경기도,의왕시,24.4,1.4
경기도,의정부시,24.4,2.3
경기도,이천시,24.4,2.3
경기도,파주시,24.4,3.2
경기도,평택시,24.4,2.9
경기도,포천시,24.4,1.7
경기도,하남시,24.4,3.8
경기도,화성시,24.4,5.0
경상남도,거제시,3.7,4.7
경상남도,거창군,3.7,1.3
경상남도,고성군,3.7,2.0
경상남도,김해시,3.7,16.7
경상남도,남해군,3.7,1.8
경상남도,밀양시,3.7,2.6
경상남도,사천시,3.7,4.8
경상남도,산청군,3.7,1.9
경상남도,양산시,3.7,9.2
경상남도,의령군,3.7,0.5
경상남도,진주시,3.7,6.0
경상남도,창녕군,3.7,3.0
경상남도,창원시,3.7,34.2
경상남도,통영시,3.7,3.6
경상남도,하동군,3.7,1.5
경상남도,함안군,3.7,4.1
경상남도,함양군,3.7,1.1
경상남도,합천군,3.7,0.9
경상북도,경산시,3.5,8.2
경상북도,경주시,3.5,16.6
경상북도,고령군,3.5,1.0
경상북도,구미시,3.5,9.5
경상북도,김천시,3.5,4.7
경상북도,문경시,3.5,4.0
경상북도,봉화군,3.5,0.7
경상북도,상주시,3.5,2.7
경상북도,성주군,3.5,3.6
경상북도,안동시,3.5,4.9
경상북도,영덕군,3.5,2.8
경상북도,영양군,3.5,0.2
경상북도,영주시,3.5,2.2
경상북도,영천시,3.5,4.2
경상북도,예천군,3.5,1.1
경상북도,울릉군,3.5,0.6
경상북도,울진군,3.5,2.0
경상북도,의성군,3.5,1.8
경상북도,청도군,3.5,2.7
경상북도,청송군,3.5,0.9
경상북도,칠곡군,3.5,9.1
경상북도,포항시,3.5,16.6
대구광역시,군위군,3.8,3.8
대구광역시,남구,3.8,3.1
대구광역시,달서구,3.8,11.6
대구광역시,달성군,3.8,6.0
대구광역시,동구,3.8,32.2
대구광역시,북구,3.8,11.0
대구광역시,서구,3.8,5.7
대구광역시,수성구,3.8,12.1
대구광역시,중구,3.8,14.4
대전광역시,대덕구,3.1,9.6
대전광역시,동구,3.1,22.7
대전광역시,서구,3.1,19.6
대전광역시,유성구,3.1,35.6
대전광역시,중구,3.1,12.4
부산광역시,강서구,6.3,8.4
부산광역시,금정구,6.3,3.0
부산광역시,기장군,6.3,9.9
부산광역시,남구,6.3,3.9
부산광역시,동구,6.3,3.6
부산광역시,동래구,6.3,5.0
부산광역시,부산진구,6.3,10.1
부산광역시,북구,6.3,10.7
부산광역시,사상구,6.3,4.2
부산광역시,사하구,6.3,2.6
부산광역시,서구,6.3,1.5
부산광역시,수영구,6.3,4.4
부산광역시,연제구,6.3,4.4
부산광역시,영도구,6.3,1.0
부산광역시,중구,6.3,4.1
부산광역시,해운대구,6.3,23.1
서울특별시,강남구,29.4,12.5
서울특별시,강동구,29.4,1.8
서울특별시,강북구,29.4,1.1
서울특별시,강서구,29.4,7.2
서울특별시,관악구,29.4,1.7
서울특별시,광진구,29.4,2.3
서울특별시,구로구,29.4,2.3
서울특별시,금천구,29.4,1.4
서울특별시,노원구,29.4,1.9
서울특별시,도봉구,29.4,1.1
서울특별시,동대문구,29.4,2.1
서울특별시,동작구,29.4,1.6
서울특별시,마포구,29.4,4.5
서울특별시,서대문구,29.4,1.8
서울특별시,서초구,29.4,11.1
서울특별시,성동구,29.4,2.4
서울특별시,성북구,29.4,1.5
서울특별시,송파구,29.4,6.9
서울특별시,양천구,29.4,1.9
서울특별시,영등포구,29.4,6.2
서울특별시,용산구,29.4,3.8
서울특별시,은평구,29.4,1.5
서울특별시,종로구,29.4,5.0
서울특별시,중구,29.4,15.4
서울특별시,중랑구,29.4,1.1
세종특별자치시,세종특별자치시,0.3,100.0
울산광역시,남구,1.5,41.1
울산광역시,동구,1.5,6.2
울산광역시,북구,1.5,16.2
울산광역시,울주군,1.5,26.1
