월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,883808301.5,11066020962.5,302014050.5,2833787405.5,4604728641.5
2,819278271.0,9743277893.0,270820194.0,2599524306.5,4065995567.5
3,893248581.5,10150685335.5,245102450.0,2732398047.0,4261020727.5
4,869196804.0,10764928555.0,284017671.0,2986329738.0,4494020626.5
5,950185880.0,12078709829.5,348662483.0,3419440594.5,5131274836.0
6,936278458.0,11493453624.5,385200315.5,3210440835.5,4639405950.5
7,955165048.5,11723358951.0,490110551.5,3254638225.5,4599086469.5
8,930946009.0,11535140256.5,473168911.5,3142615733.5,4653764464.0
9,926990055.5,11528680399.0,328715772.0,2868477636.5,5147317210.0
10,975837352.5,12761480367.0,414960756.0,3458355287.0,5359178310.0
11,938604984.5,12226959942.5,392941760.5,3301973416.0,5067986966.5
12,904770909.0,11026357954.5,376698360.5,2689870552.5,4916697550.5
