월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,934213941.75,12560227945.375,389818946.625,3340943775.875,4926046401.0
2,860251708.625,11366867064.875,346058669.25,3080142615.75,4425544989.25
3,981183215.75,12739459859.5,329248769.125,3517796487.625,4959759526.75
4,925197195.75,12928646173.0,365599006.75,3613569241.25,4930576603.375
5,1006851208.5,14213178632.875,417755742.25,4030922219.5,5441981608.75
6,964633933.5,13328622282.625,428849906.25,3745180750.375,4970568380.75
7,999419788.5,13741731746.0,523438245.375,3848195904.75,4982271413.875
8,989663171.75,13893695712.375,536263422.625,3963788470.625,5052489671.25
9,983987849.75,13534317225.125,394541704.25,3607621015.0,5369477588.625
10,1014626328.75,14428717463.125,439177092.0,4016237559.25,5555788821.375
11,983013562.75,13697781097.125,406317031.625,3746582102.875,5312248586.875
12,980542849.5,13918038406.75,457055095.875,3855345663.5,5431838945.0
