월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,873437331.0,11888455133.0,281622380.5,3129786434.5,4419201106.0
2,796678832.0,11089545462.0,240171300.5,2864949349.5,4378160697.0
3,949751911.5,12600364206.5,238924325.0,3426812125.5,4881948290.5
4,846455032.0,12271152214.5,268540382.0,3273334504.5,4658564601.5
5,930044635.0,13476539675.0,301925990.5,3606244421.0,5130661668.0
6,889174325.0,12776926891.0,307329654.5,3410896355.5,4766196535.5
7,928296202.5,13099236416.0,364872426.0,3496062744.5,4760648739.5
8,937810329.5,13568698732.5,423581085.0,3767917994.5,4870371358.5
9,927064715.5,13025607264.5,288673047.0,3370034937.0,5249258911.5
10,929213775.0,13401950906.0,305157556.0,3615087820.5,5097338686.0
11,912211725.5,12939289964.0,285563863.5,3455081489.0,5001925026.5
12,932474951.0,13742948113.5,364292006.0,3851955127.5,5230798735.5
