월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,989805067.25,13643217843.0,487819677.75,3700100631.75,5340127928.25
2,912524865.75,12317322452.25,436621591.25,3428048403.5,4629011846.25
3,1040866185.0,14103394948.0,416484150.75,3955987889.0,5348034544.5
4,992568473.5,14339251961.25,454918987.0,4097306361.25,5284860592.75
5,1073587159.5,15648732513.5,510217247.75,4549001931.25,5752994965.5
6,1016541475.5,14522054307.5,511434827.5,4179692905.25,5238335518.5
7,1057108951.5,15072165808.5,619385002.0,4321041324.5,5284675223.25
8,1044948174.25,15235471930.25,624151847.0,4472310077.25,5342911431.25
9,1040948314.0,14791490618.5,480388999.0,4095985743.25,5540667116.5
10,1076727093.75,15775719289.75,518295028.0,4495753564.75,5883319144.75
11,1040618770.5,14812437241.0,473381251.25,4114636753.25,5589541177.25
12,1042462769.0,15451423779.5,543615008.5,4439778487.0,5789929747.0
